,id,qid1,qid2,question1,question2,is_duplicate
3682,3682,7362,7363,What is the sense of life?,What do you think is the ultimate meaning of life?,1
215754,215754,425433,425434,How do I get 1TB of free data space?,How can I store 1TB of data online for free?,1
167382,167382,330814,330815,How can I start making money by starting a blog?,How do I earn money through a blog?,1
201796,201796,398198,398199,"What is the weather in Orlando like on June, and how does it differ from the weather in February?","What is the weather in Orlando like on June, and how does it differ from the weather in March?",1
317147,317147,622326,622327,What programming languages are best to learn?,How many languages need for computer programming and which is the best?,1
315383,315383,618918,618919,How does Dream11 website earns money?,How does Dream11 earn money?,1
323679,323679,634940,634941,What is the difference between milk allergy and lactose intolerant?,What is the difference between being lactose intolerant and being allergic to milk?,1
160351,160351,317049,317050,How do I tell my friend that her boyfriend is not a good fit for her?,"How do I tell a friend, her boyfriend is not good for her?",1
118164,118164,234203,234204,"Why does Quora do this ""marked as needing improvement?",What should I do when someone marks my question as needing improvement?,1
117701,117701,233290,233291,Which is the best book for Java?,Which is the best book for java programming?,1
307562,307562,603811,603812,"What are the preferred websites (newspapers, fashion websites, etc.) of Chinese American in the US?","What are the preferred websites (newspapers, fashion websites, etc.) of Chinese-Americans in the U.S.?",1
29443,29443,58698,58699,How do I collect 8 ball pool cash?,How do I get a lot of money in 8 ball pool?,1
50940,50940,101388,101389,Which bank is giving the cheapest interest rate in India?,Which banks give high interest rates in India?,1
365122,365122,714717,714718,Does 'empty' space consist of 'stuff' which is displaced by matter?,Is 'empty' space filled with massive particles which are displaced by the particles of matter which exist in it and move through it?,1
126901,126901,251409,251410,Is Indian journalism (main stream media) worst in the world?,Is the Indian mainstream media (MSM) one of the worst in the world?,1
52828,52828,105126,105127,Is there still a way to get paid on Quora?,Is it true you get paid to answer Quora Questions?,1
213726,213726,421472,421473,Why the Modi government ban the 500 and 1000 notes?,What are the advantages of the decision taken by the Government of India to scrap out 500 and 1000 rupees notes?,1
62421,62421,124140,124141,What are some best movies of all time?,What's the best movie?,1
300070,300070,589347,589348,What is the most embarrassing moment your crush had in front of you?,What is the most embarrassing moment in front of your crush?,1
282097,282097,554520,554521,What are the differences between Chinese culture and western culture?,What are the major differences between Chinese and Western culture?,1
84149,84149,167128,167129,What is a good diet plan for a commuter that wants to gain weight?,What is the proper diet to gain weight?,1
177142,177142,349936,349937,Can we expect time travel to become a reality?,Is time travel still theorized as being possible?,1
291511,291511,572735,572736,What are world's biggest scams?,Worlds biggest scam?,1
348582,348582,682964,682965,Are there lgbtq characters in The Lord of the Rings?,Were any of the Lord of the Rings characters homosexual?,1
29144,29144,58102,58103,Do Deaf people understand the concept of sound? In what way?,In what way do born Deaf people understand sound?,1
304739,304739,598374,598375,How do you log in to Facebook if you forgot your password?,How can I deactivate a Facebook account if I forgot the email address and the password?,1
168050,168050,332118,332119,Who are some of the best modern horror/murder/mystery story writers?,Are there any good modern mystery writers?,1
181521,181521,358511,358512,Do people still believe in Greek gods?,Do people still worship the Greek gods?,1
350623,350623,686893,686894,What are some of the the best lines from MS Dhoni: The Untold Story?,What are the best dialogues of the movie MS Dhoni: The Untold Story?,1
22201,22201,44295,44296,What's the best way to learn Microsoft Office and its associated packages?,How can I learn Microsoft office?,1
382836,382836,748653,748654,"Where is Vittel located in France, and how do its tourist attractions compare to the ones in Paris?","Where is Vittel located in France, and what are its major tourist attractions?",1
88973,88973,176664,176665,Why is Saltwater Taffy candy imported in Hong Kong?,Why is saltwater taffy candy imported in Brazil?,1
121680,121680,241129,241130,Does Lipton green tea Assist in weight loss?,How does green tea burn belly fat?,1
200688,200688,396035,396036,Who should win the Champions League this season?,Who is going to win the Champions League 2016/17?,1
217734,217734,429302,429303,What do you think of the Government's move of banning old Rs. 500 & Rs. 1000 notes?,What is your view on the move to scrap 500 and 1000 rupee notes? What will be its effects?,1
380024,380024,743262,743263,Why does Quora prevent me from asking anonymous questions?,Why was I blocked from asking questions anonymously?,1
261687,261687,514938,514939,What are some examples of allergy medications without antihistamine?,What are some examples of non-antihistamine allergy medicine?,1
25726,25726,51307,51308,What are some interesting facts about medicine?,What are some insane facts about medicine?,1
331055,331055,649188,649189,Is it hard to learn the violin?,How difficult is it to learn the violin?,1
231892,231892,456914,146550,"Why does Quora coexist in a Google world, when so many answers are a simple search away?",Why use Quora when Google answers almost everything?,1
346932,346932,679812,679813,How much voter fraud goes on in US elections?,Is Vox right that voter fraud in the US is not a problem?,1
390523,390523,763350,763351,Which specific heat is used to calculate the gas internal energy change?,Which specific heat is used to calculate the gas internal energy change? Why?,1
124604,124604,246889,246890,How do I recover my lost Gmail password if I don't have the same number and don't remember the recovery email?,How can I access my Gmail account if I don't remember any of the recovery account information or have my old phone number?,1
250220,250220,492642,492643,Why would Ivanka Trump fly coach Jet Blue without a security detail? Why take the risk?,Why did Ivanka Trump fly coach on JetBlue?,1
308019,308019,604694,604695,What is the quickest and less painful way to commit suicide?,What is the best way to commit suicide in India?,1
24254,24254,48387,48388,What are the best ways to study more effectively?,How can I study more time and more effectively?,1
65577,65577,130389,130390,How much law of attraction works?,How does law of attraction work with fate?,1
25090,25090,50044,50045,Have you ever experienced something paranormal?,Have you ever experienced anything paranormal or supernatural?,1
39661,39661,79005,79006,Is there any easy method for students to get cash or shopping voucher just working part-time?,What are some sites where college students can earn cash or free shopping and gift vouchers just working in spare time?,1
304163,304163,597259,597260,How do I look at the followers of a private instagram account?,How do I open a private Instagram account?,1
220698,220698,435066,435067,What is the best way to get money?,How do I get more money?,1
135519,135519,268346,268347,I would like to prepare for KVPY SX.How can I do it?,How do I have to prepare physics for KVPY SX?,1
195458,195458,385791,385792,How can I become more social if I am an introvert?,What tricks can introverts learn to become more social?,1
82005,82005,162883,162884,What are any real life instances where karma played it's role?,Are there real life karma police?,1
345549,345549,677163,677164,What is make money online?,Is there any easy way to make money online?,1
397431,397431,776563,776564,"If energy cannot be created nor destroyed, how did the Big Bang happen?",If energy can't be created nor destroyed then how did the big bang happen?,1
365091,365091,714657,714658,How do I start learning python web programming from scratch to advanced?,How do I start learning Python modules?,1
101183,101183,200771,200772,"What are the best places to visit in Kanhangad, Kerala?",What are some of the best places to visit in Kerala in a span of 5 days?,1
5755,5755,11502,11503,Is there any way to recover an e-mail in Gmail after it's deleted from the trash?,Is there any way to recover e-mails that were deleted from a Gmail account?,1
191419,191419,377896,377897,What's your dream life?,What is your dream life?,1
141601,141601,280275,280276,Where can I find different types of designer sliding wardrobes in Sydney?,Where can I buy best quality sliding wardrobes in Sydney?,1
294617,294617,578764,578765,What sign is the most compatible with a Capricorn?,What sign is the most compatible with a Capricorn? Why is it compatible?,1
85220,85220,169249,169250,Why are you supporting Donald Trump? What makes you put your vote on Donald Trump?,Why do you support Donald Trump?,1
327408,327408,642137,642138,What is the smallest and most versatile drone that has a video camera?,What is the smallest spying drone currently?,1
174272,174272,344306,344307,How are club soda and soda water different and how are they alike?,Is club soda and soda water the same? Why or why not?,1
156896,156896,310273,310274,How can I speak fluent english and get confident?,How can I learn to speak English fluently?,1
239036,239036,470851,470852,What is the smallest decision you have made leading to the biggest impact on your life?,How did one small decision change your life?,1
65719,65719,130668,130669,Is mechanical engineering a dead field today?,Is mechanical engineering dead?,1
43220,43220,86077,86078,Where can I get all types of legal advisory services for property transaction in Sydney?,Where can I get very friendly assistance in property for sale across the Sydney?,1
338732,338732,664038,664039,How do move on from an intense break up?,How do you cope with an intense break up?,1
392106,392106,766371,766372,Could we potentially run on out of drinking water in the future?,Will we ever run out of fresh water?,1
46194,46194,91979,91980,How does the brain control the brain?,"The brain controls the body, but who controls the brain? How can the brain control itself?",1
137635,137635,272495,272496,Which programming language should I learn first?,Which is the first programming language someone should learn?,1
304524,304524,597963,597964,Is there poetic justice in real life?,Like movies poetic justice happen in real life?,1
261718,261718,514999,515000,How do I recover permanetly deleted emails in Gmail?,How can I recover my emails from my Gmail account?,1
167464,167464,330972,330973,Why MS Dhoni leave captaincy of ODI & T-20?,Why did Dhoni leave the captaincy?,1
151393,151393,299474,299475,If dark and vacuum energy are created with expansion is there potential energy that transforms into these types of energy with expansion?,Is at least the potential energy of vacuum energy and dark energy infinite?,1
139697,139697,276534,276535,Is it possible for human to invent time machine?,Can we create a time machine?,1
334986,334986,656798,656799,How do I get a job in NASA after electrical engineering?,How do I get a job at NASA as an electrical engineer?,1
163503,163503,323237,323238,What are the functions of plant cells?,What are the functions of cells in plants?,1
267189,267189,525607,525608,How do I write script for my short film?,How do I write a script for a short film?,1
385719,385719,754178,754179,What are the best replacements for chia seeds?,What are some good substitutes for chia seeds?,1
152777,152777,302190,302191,How do I restore a Windows 7 computer back to factory settings?,What are some ways of restoring a Windows 7 computer to factory settings?,1
286756,286756,563530,563531,Why do men and women's clothing sizes come only in even numbers?,Why do men and women clothing sizes come only in even numbers?,1
101568,101568,201528,201529,How do we bake cake in microwave oven?,Is it possible to bake a cake in a microwave oven?,1
3625,3625,7248,7249,Can you please let me know the password of your email-id? I need it for checking some things. INTERVIEW ANSWER TO THIS QUESTION,Can you please let me know the password of your email-id? I need it for checking some things.,1
234763,234763,462518,462519,What food does a peacock eat?,What do peacocks eat?,1
252285,252285,496669,205101,How can I increase traffic to my websites by Facebook?,How can I increase traffic to my website using social media?,1
274673,274673,540111,540112,How should I edit my question correctly if Quora marks down my question for improvement?,What should I do when someone marks my question as needing improvement?,1
43431,43431,86495,86496,"If a term has been trademarked, can I use it in a domain name?",Can I use the same domain name as a trademark?,1
244169,244169,480877,480878,Which is the best hosting company in India?,Which is the best Web Hosting Service provider in India?,1
316468,316468,621009,621010,How can I lose weight effectively?,What are the best was to lose weight?,1
176264,176264,348217,348218,What is the best way to learn website development?,How should I start learning Website Development?,1
325875,325875,639184,639185,What is the best way to avoid questions needing improvement on Quora?,How do I talk to the moderators who marked my questions as needing improvements in Quora?,1
276384,276384,543421,543422,How much does it cost to create a website (commercial website) in India?,How much will it cost to create a website in India?,1
108537,108537,215245,215246,Why was Hillary Clinton replaced as Secretary of State? Why did she resign?,Why did Hillary Clinton resign as Secretary of State after only four years?,1
222139,222139,437863,437864,Who will win in America presidential elections in 2016?,Who do you think is going to win the presidential elections and why?,1
316755,316755,621560,621561,What are the best laptops available under 50k?,What are the best laptop buying options available under 50k?,1
248797,248797,489888,489889,How do I flow traffic to my website?,How can I increase the traffic to a website?,1
157692,157692,311833,311834,Is Illuminati a real theory?,What is some proof that the Illuminati is real?,1
249132,249132,490544,490545,What are the best online courses available for digital business and marketing management?,What are the top courses on digital marketing?,1
135233,135233,267782,267783,How did you develop a passive income stream?,What are some ways to create passive income streams?,1
140430,140430,277976,277977,How is the prime minister more powerful than the president in India?,Who is more powerful: prime minister or president?,1
283798,283798,557798,557799,"Why do people say ""God bless you""?",Why do people say god bless you when you sneeze?,1
287214,287214,564409,564410,What are chemical engineering salary?,What is salary for chemical engineers?,1
303733,303733,596429,596430,It is possible to meet aliens?,What is the possibility that we will meet with aliens?,1
276060,276060,542792,542793,How can I get peace of mind?,Where can I find peace of mind?,1
359351,359351,703679,703680,What challenges are Domino’s business model and business strategy facing?,Describe Domino’s business model and business strategy. What challenges is it facing?,1
3066,3066,6132,6133,Why is diversity good?,Why is diversity a good thing?,1
246184,246184,484811,484812,Are ethics and morality relevant to the modern world?,Is Moral philosophy still relevant in the contemporary world?,1
105172,105172,208609,208610,What is difference between Modi and Hitler?,What is the difference between Modi and Hitler?,1
55766,55766,110951,110952,How can I enjoy winter?,How do you enjoy winter?,1
158033,158033,312505,312506,What is wrong with Indian engineering education system?,What is the major problem with Indian education system?,1
244265,244265,481064,481065,Can I track my lost infinix phone via imei?,How do I find my lost mobile using IMEI?,1
138454,138454,274097,274098,How does gravity induce a time difference as it does in Interstellar?,How does gravity affect time in Interstellar?,1
298868,298868,587022,587023,Why is Plaster of Paris called so?,"Why is plaster of Paris called ""plaster of Paris"" and not by any other name like cement concrete?",1
97359,97359,193240,193241,Which is better for programming: Ubuntu vs Mint?,What are the pros and cons of converting from Ubuntu to Linux mint?,1
103235,103235,204800,204801,What was the greatest lesson you learned in the corporate world?,What is the biggest lesson you have learned in the corporate world and when?,1
130861,130861,259194,259195,What are the best ways to learn French?,What is the quickest way to learn French?,1
116357,116357,230653,230654,What does a programmers desktop look like?,How does your desktop look as a programmer?,1
158758,158758,313922,313923,What are the sites through which I can earn Rs. 500-600 on weekends?,Is there any way in which I can earn 5000 rs on weekends?,1
299545,299545,588338,588339,What are some of the funniest things that have ever happened to you (or someone you know)?,What’s the funniest thing that’s ever happened to you?,1
190008,190008,375138,375139,What does it mean if a dog throws up yellow liquid?,What causes a dog to throw up white liquid?,1
325214,325214,637911,637912,What are some best books to prepare for IBPS PO?,What are the best books for IBPS PO?,1
131113,131113,259689,259690,How do I lose my 10kg in a month?,How can I lose weight ?,1
381363,381363,745827,745828,Can I join in the US military as a foreigner?,Can someone from a foreign military join the US military?,1
25490,25490,50838,50839,Why are so many questions are asked anonymously in Quora nowadays?,Why do so many people add questions anonymously?,1
160761,160761,317850,317851,Why does Quora show the questions that I have already upvoted in my feed?,Why does my Quora home feed sometimes show me answers I already upvoted a while ago?,1
157448,157448,311354,311355,Quora: How do you post a question on Quora?,How can I ask my question on Quora?,1
262101,262101,515743,515744,Why is it called 1812 Overture?,Why is it called the 1812 overture?,1
353993,353993,693348,693349,How can I learn the cello?,What is the best way to learn cello?,1
104767,104767,207815,207816,Can we control our feelings and emotions?,Does our mind control our emotions?,1
311198,311198,610869,610870,Should I become a graphic designer?,Should I be a graphic designer?,1
93952,93952,186515,186516,How do I log in my Facebook account if you forgot your password?,How can I log in to Facebook if I forgot my email?,1
85179,85179,169167,169168,How many views and answers are required to become Top Writer in Quora?,How do people with very few views become Top Writers on Quora?,1
379489,379489,742236,742237,How do I start an advertisement company in India?,How do I start an advertising company in India specifically in print media and hoarding?,1
60663,60663,120661,120662,How can I gain thousands of Twitter followers?,How do you find twitter followers?,1
283831,283831,557863,557864,Where will we go after our death?,Where do you go when you die?,1
298477,298477,586262,586263,What are your new year resolutions for 2017?,What is your resolution for 2017?,1
282776,282776,555834,555835,"What is an analysis of Thomas Paine's ""The Crisis""?","What is the analysis of ""The Crisis"" by Thomas Paine?",1
107881,107881,213954,213955,Is Quora's engine biased against Donald Trump?,Why is Quora biased towards Trump?,1
367110,367110,343245,718530,What's the best way to break up with someone?,How do I Break up with fiancé?,1
239269,239269,471307,471308,Can life really exist beyond Earth?,What is the probability of life outside Earth?,1
287123,287123,564234,564235,Which is the best movie to watch when you are in a depression?,Which is the best movie to watch when depressed?,1
33939,33939,67637,67638,Do I need to learn data structure and algorithms to become good in embedded system?,For an embedded engineer is it necessary to learn algorithms and data structure?,1
75784,75784,150586,150587,What is the hierarchy at McKinsey and Company?,What is the hierarchy at McKinsey & Company?,1
273251,273251,537354,537355,What is the deadliest animal in the world?,Which is the deadliest animal?,1
40266,40266,80203,80204,How can I conceive a baby boy?,How do I conceive a son?,1
309035,309035,151841,606676,How can someone sell their paintings?,How can I sell my paintings?,1
295848,295848,581142,581143,Why MS Dhoni left captaincy though he was a successful captain?,Why did MS Dhoni resign as ODI and T20 Captain?,1
370005,370005,724072,724073,Is there a difference between anxiety attacks and panic attacks?,What is the difference between a panic attack and an anxiety attack?,1
192291,192291,379609,379610,Is it a must to enter the Schengen Area through the country that issued me a Schengen visa?,Do I necessarily need to enter (visit) the country which issued my Schengen visa (1 entry) or I can just visit other EU countries?,1
5284,5284,10561,10562,Is it necessary to do digital marketing course?,Is there any use by doing digital marketing course?,1
374837,374837,733352,733353,How could I improve my English?,How can I become good at English?,1
354213,354213,693781,693782,How do you change an SBI registered mobile number?,How do I change my SBI register mobile number?,1
367494,367494,719257,719258,How can I use VPN?,How do I use a VPN?,1
398229,398229,778094,778095,Why do people have really good ideas in the shower?,Why do we get bright ideas when we are taking a shower?,1
130126,130126,257740,257741,Is China's rising power a good thing for the world?,Is the rise of China good for the world?,1
280625,280625,551661,551662,How do I not worry about what others think or compare myself with them?,How can I stop myself from being affected by what other people think about me?,1
243237,243237,479063,479064,What is the major difference in the syllabus of CAT and GMAT?,What is the difference between the CAT and GMAT syllabus?,1
181149,181149,357781,357782,Is timetravel possible?,Is time travel theoretically possible?,1
135343,135343,268000,268001,Why should Jayalalittha be awarded by Bharat Ratna?,Do you think Jayalalithaa deserves a Bharat Ratna?,1
386773,386773,756194,756195,How do I get rid of acne and acne causes?,How can I get rid from my acnes?,1
116458,116458,230849,230850,How can I delete Facebook Messenger account created with phone number (without Facebook account)?,"How can I delete a Facebook messenger account (i.e. a mobile number-only account, with no password etc).",1
222554,222554,438670,438671,What advantage does byte code implementation offer as opposed to object code?,What advantage does bytecode implementation offer as opposed to object code?,1
225499,225499,444441,444442,How do you write a title for a comparison essay?,How do I write a compare and contrast essay?,1
134942,134942,267212,267213,How will the drought in California affect its economy?,How does the drought affect California's economy?,1
100476,100476,199377,199378,What is the most positive trait you are willing to recognize in Donald Trump?,What are Donald Trump’s positive qualities?,1
197762,197762,390308,390309,How do you reset a Dell laptop to factory settings?,How can I factory restore the settings on a Dell laptop?,1
344837,344837,675792,675793,What are some free ways to promote a website?,What are some cool and unique ways of marketing for promoting a website?,1
290074,290074,3838,569951,Why do we sleep?,Do we need sleep?,1
189138,189138,373432,373433,What is the best Magento Development Company?,Which are the best Magento development companies?,1
233683,233683,460400,460401,Why do people still believe the world is flat?,Why are there still people who think that the Earth is flat?,1
266247,266247,523789,523790,Will it be possible for us to actually travel to Mars by 2025?,Will Mars One really happen in 2025?,1
340511,340511,667479,667480,What books should everyone read?,What are some books that everyone should read?,1
75110,75110,149256,149257,What are the scholarships an MBBS student in India?,What are the scholarships available for MBBS students in India?,1
248262,248262,488847,488848,How can I improve my English writing skills by myself?,How can I improve my English writing skills in an effective way?,1
298357,298357,586023,586024,How cloud computing works?,What is cloud computing and it's advantages?,1
300483,300483,590143,590144,What do you do to fall sleep?,How do you fall into sleep?,1
131999,131999,261440,261441,How can I get my hair to be healthy?,What should I do to get healthy hair?,1
41035,41035,81738,81739,"Are there any hedge funds based in Berlin and if not, Germany?","Are there any hedge funds in Berlin, Germany?",1
125012,125012,247686,247687,Is IELTS or pte easier?,Is the PTE easy compared to the to IELTS test?,1
278634,278634,547796,547797,Are most trans women sexually attracted to men?,"What percentage of transgender women are sexually attracted to women as opposed to men, or both men and women?",1
256882,256882,505616,505617,"If Donald Trump becomes president, will he be a worse president than George W. Bush, equally bad, slightly better, or become as popular as Reagan?",Would Donald Trump really be any worse than George W. Bush?,1
261715,261715,514993,514994,How do you potty train a 4 month old puppy?,How do you potty train a 4 months Pitbull?,1
176157,176157,348007,348008,Should I update MIUI 7 to MIUI 8?,Should I update my phone from miui 7.5 to miui 8.0.6.0?,1
68616,68616,136397,136398,What does it take to become a programmer?,What does it take to be a programmer?,1
64521,64521,128301,128302,How do I create a successful YouTube account?,How do you create a YouTube account?,1
386088,386088,754880,754881,What is the difference between a plunger and a piston?,What is the difference between a piston and plunge pump?,1
139318,139318,275790,275791,Why is Saltwater taffy candy imported in Japan?,Why is Saltwater taffy candy imported in South Korea?,1
149348,149348,295458,295459,Which 2016 US presidential candidate would be best for the economy?,"Out of the five major current U.S. Presidential candidates, who would be best for the U.S. Economy?",1
63440,63440,126161,126162,How do I stop terrorism?,What can be done to stop terrorism?,1
382021,382021,747096,747097,How can I get rid of my acne?,How do I get rid of face pimples?,1
146351,146351,289584,289585,What powers does the vice president have?,What powers should the Vice President be given?,1
226423,226423,446246,446247,What would you think of a Presidential Pardon by President Obama of Hillary Clinton?,What would be the fallout from Pres. Obama's pardon of Hillary Clinton?,1
122535,122535,242816,242817,What is the story behind the Trojan Horse?,What is the story of the Trojan Horse?,1
231825,231825,456784,456785,Which was the best movie of Bollywood in 2016?,What is your favorite Bollywood movie in 2016?,1
195126,195126,385141,385142,"How can Sanskrit, the so-called mother of all languages, be a dead language today?",Why did Indians forget their mother language Sanskrit?,1
329388,329388,645971,645972,How well did Steve Jobs and Bill Gates get along with each other?,Are Bill Gates and Steve Jobs friends?,1
109890,109890,217911,217912,How does it feel to be a pastor?,What is it like to be a pastor?,1
215551,215551,425036,425037,Is it worth it to do an MBA?,Is mba worth it?,1
23573,23573,47033,47034,Why do we get tears in our eyes and nose when we eat spicy food?,Why do we get runny noses when we eat spicy food?,1
254850,254850,501645,501646,How did Donald trump win the elections?,Why did Donald Trump win the 2016 American election?,1
86729,86729,172235,172236,What do you think of PM's decision on the banning of 500 and 100 rupee notes?,What do you think of the decision by the Indian Government to replace 1000 notes with 2000 notes?,1
46616,46616,92816,92817,How can l get a girlfriend?,How do I get a girlfriend?,1
195864,195864,386589,386590,How did Pakistan get its name?,How did Pakistan get it's name?,1
241926,241926,476514,476515,What should be done to impress a girl?,How can I impress a teenage girl?,1
340065,340065,666614,666615,How do I stop caring so much about what other people think of me?,Should I ever care what people think of me?,1
79084,79084,157103,157104,Whos the best rock band?,What is the best rock band of all time?,1
257136,257136,506113,506114,Is it possible to see the future in your dreams?,How it is possible that sometimes we see the future in our dreams? Is it related to catching some signals that are related to the future?,1
275003,275003,540744,540745,Any other program to help on code contribution for open source project other than Google Summer of Code?,What is an alternative to Google Summer of Code?,1
342507,342507,671319,671320,What are your New Year's resolutions for 2017?,What are your New Year resolutions for the upcoming year 2017?,1
212842,212842,419756,419757,What are the advantages of using maternity tights? Are they worth it?,What are the advantages of using maternity tights?,1
288565,288565,567046,567047,Does mastrubation causes hair thinning?,Can mastrubation cause hair thinning?,1
203321,203321,401172,401173,How do computer programmers make the most money?,How do computer programmers make money?,1
182710,182710,360851,360852,What are some mind blowing drawing?,What are some mind blowing drawings you have seen?,1
198977,198977,392687,392688,How can I hone my writing skills?,How do I improve my writing skills?,1
99708,99708,197865,197866,What will be the effect of banning 500 and 1000 notes on gold rate and real estate?,How does the declaration that Rs 500 and Rs 1000 notes would not be accepted as valid transactions affect real estate in India?,1
116100,116100,230146,230147,What are reasons to watch TED talks?,What are the advantages of watching TED talks?,1
262749,262749,516998,516999,How are sea salt mixtures benefit for healing a piercing?,What are the benefits of a sea salt soak for piercings?,1
208942,208942,412162,412163,How many Hebrews left Egypt during the Biblical Exodus?,How many Israelites actually left Egypt?,1
159054,159054,314502,314503,Where do I publish my paper?,If I have a research paper how and where can I publish it?,1
241586,241586,475849,475850,How do I buy stocks?,How to buy stocks?,1
152761,152761,302158,302159,Does shaving make facial hair grow faster?,Does shaving make your beard grow faster?,1
98898,98898,196267,196268,How can I earn from online?,How could I make money online?,1
374632,374632,732960,732961,How is the theory of relativity used in GPS?,How is the theory of relativity related to GPS?,1
346204,346204,678417,678418,Why don't magnetic monopoles exist?,Why don't magnetic monopole exist?,1
10064,10064,20096,20097,What is best career option for electronics & instrumentation engineering?,What are best career options available for electrical and electronics engineer today?,1
211708,211708,417550,417551,Could paracetamol (acetominophen to us) pills be the cause of Gastritis due to excessive amount intake to relieve mild migraine headaches?,Can paracetamol cause Gastritis when taken in excessive amounts to relieve mild migraines headaches?,1
23744,23744,47371,47372,What is the scope of digital marketing?,What do you think the scope of digital marketing is?,1
129851,129851,257200,257201,Why is water considered a polar molecule?,Is water considered polar or nonpolar? Why?,1
234116,234116,461252,461253,Can there be any major issue in future if my wife is 6 months elder than me?,What problems will I face if my husband is 6 months younger than me?,1
368864,368864,721888,721889,How do I enjoy in life?,How do I really enjoy living?,1
274281,274281,539350,539351,How soon and by what means will the human race become extinct?,When do you think humanity will become extinct?,1
185944,185944,367182,367183,What are some ways to learn organic chemistry fast?,How can I learn organic chemistry?,1
107885,107885,213962,213963,What are the major Development of Chhattisgarh?,What are the main Development in Chhattisgarh?,1
281679,281679,553716,553717,What are the best laptops within 30000?,Which is the best laptop model to buy within 30k?,1
254492,254492,500948,500949,What would be impact on India if Donald Trump becomes President?,"What will be the impact of election of Donald Trump as the 45th US president, on India?",1
335760,335760,658298,658299,Where can I learn to sing online?,Where can I learn to sing exclusively online?,1
260450,260450,512548,512549,Do Chinese newborn babies have a unique face which can be identified?,Do Chinese newborn babies look different? (TO: Chinese people),1
397570,397570,776831,776832,How do I increase our height after 21?,Is there any possibility to increase height after 21?,1
91722,91722,182111,182112,Can time travel ever be possible?,Is time travel to 2010 possible?,1
171027,171027,337947,337948,What should I know to get into GSoC?,How should i start preparing for gsoc?,1
332319,332319,264778,651640,"What are the qualities of a good logo? What makes a logo ""stand out""?",What makes a logo good?,1
358372,358372,62379,701789,How can Facebook improve?,How could Facebook be improved?,1
338521,338521,663623,663624,"If Jesus Christ was circumcised on the eighth day, did his foreskin come back again after his Ascension and Resurrection?","If Jesus Christ was circumcised on the eighth day, did his foreskin come back again after his Resurrection from death?",1
91295,91295,181264,181265,What is the best programming language for beginners to learn?,What is the best programming language to know?,1
396715,396715,775189,775190,How do I get an interview call from startups?,How do I get interview call from startups?,1
290314,290314,570413,570414,Why is North Korea so different from the rest of the world?,Why North Korea is different with rest of the world?,1
323896,323896,635360,635361,Where are aliens?,Where are all the aliens?,1
358927,358927,702864,702865,How can I improve in English?,What are some ways to improve English?,1
57287,57287,113975,113976,Why are so many questions posted to Quora that are so easily answered by using Google?,Why do so many people ask things on Quora that they could just as easily Google?,1
303036,303036,595081,595082,What do Trump supporters provide for reasons why should I support Donald Trump?,What are your reasons for voting for Trump?,1
41673,41673,83002,83003,If dark energy is created with expansion can infinite of it be created?,"If vacuum energy is created as space expands, can infinite energy be created?",1
401870,401870,785037,785038,"I am 23 years old, male. I am very eager to know what lines of my palm tell.If u want more photos I will send. Can anyone tell me in detail?","I am 23 years old, male. I am very eager to know what lines of my palm tell.If u want more photos I will send. What is tells explain in detail?",1
5465,5465,10923,10924,Is being as a gay a psychological disorder? Can we fix by councelling?,Is being gay possibly linked to a mental disorder?,1
35669,35669,71071,71072,What is the difference between oxidation and reduction?,What is difference between oxidation and reduction electrochemical reactions?,1
234558,234558,462123,462124,Why set max telecast movie Suryavanshan on every week?,Why does Set Max repeatedly telecast Sooryavansham movie in India?,1
345769,345769,677584,677585,What would happen if Sherlock met Chandler?,What if Chandler Bing met Sherlock Holmes?,1
107986,107986,214161,214162,Is CA course better than mba?,Which is better CA or MBA?,1
389167,389167,760762,760763,What is a narrative paragraph?,What is a narrative paragraph? What are some examples?,1
169613,169613,335176,335177,Which one is better online teaching or class teaching?,"Which will be better, online teaching or class teaching?",1
91461,91461,181594,181595,"What made Dr. Abdul Kalam`s rule as president of India so different from other presidents, such that it made a lasting impact on Indian society?","We have lost a true Indian, Dr. APJ Abdul Kalam. How was he different from other presidents?",1
360815,360815,706466,706467,What are some fun facts about the circulatory system?,What are the facts about the human circulatory system?,1
294016,294016,577585,577586,Why do everything on the universe need to be symmetrical/in balance?,Why does everything in the universe need to be symmetrical/in balance?,1
194051,194051,383044,383045,Why do people ask questions on Quora while They can get all the answers by Googling?,Why do some people on QUORA ask questions that they can easily findout on Google?,1
49156,49156,97853,97854,How can you treat a swollen frenulum?,How do I deal with a swollen frenulum?,1
283777,283777,557757,557758,How can be a good leader?,How can you be a good leader?,1
123029,123029,243790,243791,How could Gary Johnson end up winning the 2016 Presidential Election?,Why doesn't the Libertarian candidate Gary Johnson have a shot at winning the 2016 presidency?,1
317618,317618,623226,623227,I am a very I insecure person. How can I build self esteem and confidence?,I am a person of low self esteem as well as an introvert.What should I do to improve my self esteem and confidence?,1
123968,123968,245635,245636,What are the best photos taken by phone?,What are some of the best pictures taken with a phone camera?,1
75220,75220,149475,149476,What do the Japanese think about China?,What do Japanese people think about China?,1
114700,114700,227392,227393,What is your worst habit?,What are your 7 worst habits?,1
196681,196681,388184,388185,What are some examples of database management systems?,What is a database management system? What are some examples in how it is used?,1
11269,11269,22502,22503,How does a cactus survive in the desert?,How can a cactus survive in a desert? What are its adapatations?,1
